user;title;text;rating;url
Ashely Liu;Keramas Beach;The sands are so shiny and black. Go around 5:30pm.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Shikhar Aich;Keramas Beach;Secluded beach, lesser known and not at all crowded. Loved it so much, although there were many litters.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Dewa Ayu Karisma Putri;Keramas Beach;The place is beautiful.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Indraneal Balasubramanian;Keramas Beach;The ride here from Ubud was really nice, I rode a scooter here to catch the sunrise. It is a black sand beach and it was not crowded at all, I only saw a few scattered folk taking a walk.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Agus Mawa Febryana;Keramas Beach;Great;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
????? ????????;Keramas Beach;Love this place;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Bartosz Roman;Keramas Beach;Interesting beach, beautiful sunset view and volcano. Very few people. It's a shame that there is some litter on it.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
IhaveRoom App;Keramas Beach;Nice place for eat and yoga;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
????;Keramas Beach;You can see Mount Agung and the sunrise is beautiful! A few people walking or running, and a few doing yoga. It was good on a quiet beach. I thought the tropical feel was somewhat inferior because of the black sand.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
369 Bali Properties;Keramas Beach;Great stuff;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
???;Keramas Beach;Black sand, hardly any people, some litter;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Miki Braicu;Keramas Beach;If you want to see the sunset, from this place you can be impressed by the view.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Junior Reis;Keramas Beach;For those who surf big waves. Cool;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Anonymous Persona;Keramas Beach;Beach littered with trash and floating in the ocean too.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Irina Geleva;Keramas Beach;At first glance, a very atmospheric place: spacious, long sandy spit, black volcanic sand. But if you look closely, you will see the following: piles of garbage and dead dogs, large waves that don't allow swimming, small trays with incomprehensible goods for incomprehensible buyers, because the beach is deserted. Absolutely nothing but garbage and hopelessness.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Lucinda Fabri;Keramas Beach;Peaceful, authentic place without mass tourism :);;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
??????? (Tomorrow Tiger);Keramas Beach;Nothing much to see. The sand is black like coal that has been crushed. It was burdensome to walk on it. In April in Bali, it seems to be the season of bugs. There are too many bugs. The Keramas Beach area is overflowing with bugs.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Matt Turner;Keramas Beach;Fished here. They grilled it. I ate it;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Alex Travels;Keramas Beach;Black sand beach, you can meet surfers, there is a restaurant nearby;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
Vincenzo Korolev;Keramas Beach;Then I can't understand why it's so cool here;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
????? ???????;Keramas Beach;The nature is very beautiful, the beach is quiet, but everything is in trash. Although it is cleaned, a feeling of abandonment is present. The sand is very beautiful, soft like pudding and very shiny. Unusual feelings, but entertainment for 15 minutes.;;https://www.google.com/maps/search/?api=1&query=Keramas%20Beach&query_place_id=ChIJH3OlllUU0i0R7gr3r_FVZkY
