user;title;text;rating;url
Roam762195;Without nighttime structure;"We were in Maresias in May (off-season), rough sea, but very beautiful! Light, soft, and clean sand. We felt safe; however, unfortunately, the city does not offer nightlife structure. Either you consume in the most 'famous' and consequently expensive places, or there are few alternative options for food. The streets are in a precarious situation, without lighting and potholed. Especially on the first days of the week (Monday, Tuesday, and Wednesday), we found most establishments closed, leaving us to have dinner at a bakery.";3;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r949946866-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
951sissib;Maresias Beach;Good extension beach, with a reasonable and quite uneven sand strip. I traveled in April 2024, and the sea was very rough, with several danger signs in various points. Good water temperature.;4;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r948835783-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
brunamF1538OM;Very good;Very beautiful, good beach to enjoy the sea, stay relaxed without people looking you up and down, you can bring your cooler and have fun. We loved it!;4;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r948422957-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
karlacseabra;First visit to Maresias;The beach has a long extension of light sand, and its grains are not so fine. The water was clear and not cold. When the sea is calm, it's possible to enter with children and elderly without problems. When it's not, the lifeguards are on duty and guide the swimmers. Many surfers can be seen along its extension. The presence of human dirt on the sand was noted, and with that, we observed dogs and numerous pigeons. This could be solved by the kiosks themselves, passing a rake daily and collecting straws, toothpicks, salt packets, among others, as, even though they provide trash cans for these, some still end up flying. There is a presence of street vendors and can collectors. On Friday morning, someone appeared every 5 minutes. On other days during the week, there were also some, but much fewer. The security impressed us, a calm place.;3;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r945617080-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
Fearless748132;Maresias paradise!;Loved Maresias, beautiful and attentive people. Stayed in 2 hotels and enjoyed the beach of Maresias and the Maresias Tour. Thank you, Maresias.;5;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r945391807-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
I7003DMcarolinam;Beach;Love São Sebastião Maresias, but the last visit was a bit dirty and abandoned in the area near the central small church.;5;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r939074895-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
Odyssey47147221299;Great beach! Very beautiful!;"White sand, transparent sea! Very beautiful! Great waves for those who like, without major risks, and with lifeguards all along the shore. With children under 5 years, go in the morning when the tide is low, and it's very good for them to play in the water, in the afternoon the tide rises. Repellent is mandatory as soon as you get out of the car; the welcome comes quickly haha.";5;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r938030658-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
fabioh177;Beautiful beach, rough sea in Jan. 2024;Beautiful beach, but the tide was a bit rough (I think it was due to the excess rain days in January). Not very suitable for children. When we sat in the chairs of a kiosk, they charged a minimum consumption fee of 70 reais per person. We didn't accept, as it is abusive, not to mention illegal.;4;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r935698053-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
l_cias374;Impossible to rest;Beautiful beach, but impossible to rest. Everyone wants to listen to their music at maximum volume. Strong waves, not recommended for children.;1;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r934697299-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
marforna;Discomfort of the sound boxes!;Wonderful beach. One of the most interesting in the northern coast of São Paulo! Pity that the enforcement is not active regarding the abuse of sound systems. Truly a pity! For those who want to relax on the beach, this is definitely not the place!;4;https://www.tripadvisor.com/ShowUserReviews-g1219730-d2429101-r932639868-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html
