user;title;text;rating;url
westy54;Home to the Annual Margaret River Surf Classic. Great viewing area.;"The Point has a good parking area, good change room facilities and landscaped viewing areas and lookouts where you get a great view of the beach and, of course, any surfing going on.

The Surf Classic has been held at this site since 1978. There are three different areas Main Break, Surfside and The Box.

I would not swim here though when there is a great beach at Gnarabup a short distance away.";4;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r886804978-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
SwordsPat;Easy access;Beautiful beach with plenty of facilities and ample parking. Popular spot for sunset. Nearby Sea Garden restaurant worth a visit but it closes in the afternoon.;5;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r866950541-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
Dragonmove;Best location to watch the wave;Went to this view point so many times during our stay in Margaret River. The view is awesome and there are many parking lots to just park and enjoy some lunch or even a drink. Its great to walk around as well and even head down to the beach.;5;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r840165517-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
caddyandbellA;Great view opf the Surf and Whale Watching;We were just at Surfers Point a couple of weeks ago.Luckily the sun was shinning and we had a great view of the ocean and were lucky enough to catch a glimpse of some whales in the distance.Lots of people there surfing(does anyone work midweek?) and the car park was quite full.We have been there before on a weekend and there is a coffee van there that makes a great cuppa.Probably the best part of the beach at Prevelly;4;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r816288896-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
Q7840EUdanl;Great Amenities for Surfers & Visitors;The overcast conditions, rain and winds were a bit of a damper. If I was to select a favourite beach area, this would probably be it although unlikely to ever get me on a beach nowadays. Great improvements over the years with grassed areas, walking tracks, parking and allied amenities to cater for surfers and visitors. A few brave, or foolhardy, surfers on the beach, boards in hand and contemplating the swells. Didn't see any of them venture into the water while we were there.;5;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r790704055-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
jandp768;Awesome views, great spot.;Absolutely loved our time here, beautiful views, lots of surfers and even some seals. Love grassed areas to sit, clean toilets and lots of parking. Unfortunately a bit to cloudy for a good sunset but I bet it’s spectacular.;5;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r788818876-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
gfsc5;Surf;"We visited this beach area on a windy day but apparently that's how it always is.  It's very well organised with very good car parking, toilets and boardwalk and viewing areas for those who want to enjoy watching the surfers, sailboarders and the like.  Great to be able to avoid sand!

When we were there we saw sailboarders and kite surfers.  All very experienced judging by their skill levels.  The sea was certainly making them work.

Worth a visit.";4;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r785072726-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
Rado_Livka;Always windy always beautiful;Todays trip was our second time in 2 years at this location. Always fresh breeze and stunning beaches. Finally we got a time to catch up on some suntan. Chillax at its best;5;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r777581634-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
559ameliay;Absolute must see when at Margaret river region;We are not surfers but we always enjoy visiting prevelley surfers point every time we are in the area . About 10 minutes drive from Margaret river township , it has stunning views of the ocean . Its very well set up for families with barbecues, benches and stairs all the way to the beach . Dog friendly beach. Toilets and showers too. Great place to catch the sunset and go for long walks .;5;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r763433533-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
ferrymul;Stunning beach view with strong waves;Stunning beach view with strong waves. I was so amazed to see such a beautiful beach that is used for surfing competitions in Australia. I came in march 2020, thus the weather is a bit weird with little rains, cold strong wind, and most of time sunshine. But the view is simply breathtaking, nothing in my experience comes close to this.;5;https://www.tripadvisor.com/ShowUserReviews-g1900258-d5957824-r751296013-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html
