user,title,text,rating,url
normanp311,Iconic Beach to visit,"Bells Beach Next off to Bell Beach, about a 30 min drive away. Quite a few people around and plenty of surfers (perhaps the dregs from the the recent RipCurl Pro-Surfing competition. The swell was beckoning, so after snagging a few rad pipes, we dried off and ventured further south.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r948867058-Bells_Beach-Torquay_Victoria.html
396anitah,Wave Right,"Bells Beach For the seasoned surfer, Bells beach renowned for its yearly Rip Curl pro surfing competition which attracts the international elite of its sport, offers long waves & big swells that are a board riders paradise. The surrounding headland provides a great vantage point to view the competition or just watch the aerial views on display by the daily surfers who attempt to master the waves. Acknowledgement is given to the land that was first home to the Gulidjan aboriginal peoples. Bells beach has brought great prominence to such surfing legends as: Kelly Slater, Mick Fanning, Mark Occhilupo. Its iconic long winding, wooden staircase & stunning sunsets make for a photographers dream. This is a must stop in Torquay along your drive on the Great Ocean Road.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r941258770-Bells_Beach-Torquay_Victoria.html
FrostyRemo,Great views,Bells Beach The waves were breaking at Winkipop not Bells but still worth a visit. No flags or surf patrol so we headed back to Jan Juc for a swim,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r931761416-Bells_Beach-Torquay_Victoria.html
PaulL148,Speaking as a non surfer....,"Bells Beach In the interest of full disclosure I've never 'hung ten'. Or even 5...

So as a non surfer what was Bells Beach like? Well it is nice to see a place that's famous even if in a sphere you don't normally swim in. But for the non surfer the appeal is that it's quite an interesting little cove and beach. It's darn near perfect in shape with cliffs surrounding in. There are multiple lookouts there where you can get good views and watch the surfers do their thing. 

There is a reasonable amount of parking and facilities and you can include checking the place out in between checking out Jan Juc Beach and Bird Rock Lookout. So even if you aren't a surfer this is still a worthwhile piece of coastline to check out.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r918430141-Bells_Beach-Torquay_Victoria.html
Camper44790850826,Stunning place to visit,"Bells Beach Absolutely beautiful place to visit. Beaches are beautiful and so much to see and do around the area. The town its self is expensive and very touristy. We enjoy doing some waterfalls, some beach walks and exploring around the area.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r904415015-Bells_Beach-Torquay_Victoria.html
StewartsVacation,Flat ocean!,"Bells Beach We made a detour to visit this acclaimed surf beach, but completely lucked out as there were no waves! Plenty of hopeful surfers were bobbing about, attempting to catch a wave, but the water was flat! We believe that it is one of the world's best surf beaches with top class swells from the Southern Ocean!!",3,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r884987127-Bells_Beach-Torquay_Victoria.html
619jeffry,World's longest running surfing event,"Bells Beach Bells Beach hosts the world's longest running surfing event. This classic competition is held every Easter. Allthe world's best surfers compete. The surging waves come straight off the mighty Southern Ocean. Bells Beach is 100 km south-east of Melbourne. It's on the Surf Coast, near the towns of Torquay and Jan Juc. Geelong is the major regional center. The winner hoists the well-known bell as the symbol of triumph.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r882254515-Bells_Beach-Torquay_Victoria.html
216paulq,Bella beach,"Bells Beach Even early morning, r this evacuation is packed out with buddy surfers. A sight to behold!! Shame the toilets are not very clean. Infact…..they were quite filthy",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r872654424-Bells_Beach-Torquay_Victoria.html
rg3262,Regular beach,"Bells Beach One of the most peaceful places I have visited. Despite walking around the sand and letting the water wash my feet, I had a great time.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r870802306-Bells_Beach-Torquay_Victoria.html
World_Traveller_838,Nice place for a walk,"Bells Beach My wife and I visited this place during our recent holiday in Torquay where we stayed for two nights at The Sands Golf Resort.

We walked several kilometres along the beach and hiking trails near the beach to enjoy the scenery and exercise.

Bells Beach is Australia's most famous surf beach, home of the Rip Curl Pro surfing competition. Bells Beach is known to have some of the world's best surfing breaks with waves recorded as high as 15.5 metres.

Bells Beach has been holding surfing competitions since 1961 and over more than half a century it has built a reputation as the location of the oldest surfing carnival in the world. It comprises a high concentration of quality surfing spots from Southside to Steps Reef including Centreside, Bells and Winki Pop.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r859698179-Bells_Beach-Torquay_Victoria.html
Niccers16,Worth a look,"Bells Beach The beach itself seems pretty poor, but the waves just seem to go in forever. A few surfers in the water and you could see just why the place is famous as the waves were decent.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r853193956-Bells_Beach-Torquay_Victoria.html
Xanerin,Mr Average Beach,"Bells Beach Was quite excited to see this amazing surf beach but when we got here, it was smooth as silk and just another rather average beach. I was a little disappointed so don’t expect too much.",3,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r840172710-Bells_Beach-Torquay_Victoria.html
Gymstar,Great surfing beach,Bells Beach Excellent brach to see surfing even when the annual competition isn't on. Good viewing places from the cliff tops and elsewhere. Will have to return to see the comp sometime.,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r836892790-Bells_Beach-Torquay_Victoria.html
AnnieGrant,Surfing Capital of Australia,Bells Beach The wind and bleak weather on the day we visited didn’t deter the hardened surfers. Good viewing platform and windswept trees growing at impossible angles make for interesting photographs. For the surfing aficionados.,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r834584790-Bells_Beach-Torquay_Victoria.html
619jeffry,World's longest surfing event,"Bells Beach Bell's Beach is near Torquay, the official start of the Great Ocean Road. The Rip Curl Pro is held here in April, it attracts the world's best surfers. The event is the world's longest running pro surfing event.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r830882267-Bells_Beach-Torquay_Victoria.html
nikaus21,Iconic beach,"Bells Beach 1st time seeing this iconic beach in real life. Is a bit rocky, and was quite onshore. I was surprised that at bells, there's literally just a beach! No shops, pub, nothing. There is a toilet block and shower at the west/southern end of carpark",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r830786462-Bells_Beach-Torquay_Victoria.html
M7025NQtonyw,Worth getting off the main road to visit,Bells Beach This very famous beach is worth getting off the main road to visit. We were lucky enough to visit on a day with onshore winds that really whipped up the surf. This only added to the experience. Lots of parking with great lookouts and access to the beach.,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r821664239-Bells_Beach-Torquay_Victoria.html
619jeffry,Famous for surfing,"Bells Beach Melbourne is situated on Port Phillip Bay, and so surf is placid. However, Bells Beach, with its famous surf, is some 50 miles (80 km) south-west of the city. The Rip Curl Pro (formerly Bells Beach Surf Classic) is held every Easter, bringing top-class surfers from around the world to Bells Beach. For the rest of the year, anyone can swim at Bells Beach. You might even be able to get some surfing lessons. It's fun!",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r821443541-Bells_Beach-Torquay_Victoria.html
gregs3071,Busy in in the quietest of times,"Bells Beach I visited Bell's Beach on day one of my Great Ocean Road tour which was the Winter Solstice. It was cold and foggy but the fog was not thick.

I pulled over as soon as I saw a sign saying Bell's Beach. The car park was of a decent size and there were not many cars there. A sign by a path indicated a 10 minute walk to Bell's Beach.

The path along the cliff top was quite chilly. I was wearing a beanie and a hooded jacket. I'm not one who feels the cold terribly but I needed to pull the hood over my beanie.

At the end of the path there was another, larger car park, with more cars parked and a crowd of people lining the fence. That was the Bell's Beach/Winki Pop car park.

The car park and viewing area is at the top of the cliff over looking the beach. There were somewhere between 20 to 30 surfers in the water. I had stopped 3 times at other beaches on the way and this was by far the most surfers I had seen. The surf looked pretty good.

I did not venture down to the beach itself. I took a couple of pictures from the lookout and returned back down the path to my car. I had many places to visit that day.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r800576239-Bells_Beach-Torquay_Victoria.html
pugsly14,Beautiful beach,Bells Beach It was great to be able to visit here on our drive along the Great Ocean Road. Great views from the lookouts but also nice to walk down onto the sand and soak up the atmosphere on the gorgeous day that we visited.,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r789467031-Bells_Beach-Torquay_Victoria.html
Colioni,Finally,Bells Beach After 50 years I visited again. Not much surf on but the day was still memorable.  You can choose to walk and view from platforms or go down the steps to the beach.,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r785973121-Bells_Beach-Torquay_Victoria.html
953SueT,"""Bells Beach and Winki Pop""",Bells Beach We walked down to the lookout which is still high on the hill overlooking the beautiful beaches. Even though it was overcast and windy it was still picturesque to enjoy and photograph.,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r784434933-Bells_Beach-Torquay_Victoria.html
ameliam32,A huge beach,"Bells Beach We stopped at Bella Beach just to check it out and wow, I was surprised how long the beach was and how many people were out there surfing. 
We stayed up at the lookout platforms to take in the view.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r779040045-Bells_Beach-Torquay_Victoria.html
TalithaMM,Great for a beach walk,Bells Beach A beautiful place to start the GOR (or finish I guess). Nice for a beach walk and to check out the surfers!,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r752993978-Bells_Beach-Torquay_Victoria.html
378lizh,Early evening drive past,"Bells Beach On our way back to Melbourne from a GOR tour, we drove past this beautiful beach in the early evening.  
We saw a mob of kangaroos feeding in the fields, reasonably close to the road.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r752959184-Bells_Beach-Torquay_Victoria.html
ogerkan,First stop on our Great Ocean Road adventure,"Bells Beach Growing up in the US, Bells Beach was always featured on the surfing competitions I watched as a teenager. Stopped by on a perfect day, Much larger than I expected. Watched the surfers for a while before we headed down the road ...",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r751993024-Bells_Beach-Torquay_Victoria.html
RichardT553,Famous for surfing and views,Bells Beach A great first stop once starting the Great Ocean Road from Torquay end. Excellent views from purpose made look out. Decent parking but I guess it is insufficient at busiest times. Quite a bit of surfing going on when we were there in March. Only 10 minutes off Great Ocean Road,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r751605954-Bells_Beach-Torquay_Victoria.html
mrsveldy,Fabulous Views,"Bells Beach Was quite windy during our visit today.  Absolutely gorgeous views, I’m sure a lot busier when the weather is warmer.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r748624791-Bells_Beach-Torquay_Victoria.html
619jeffry,Victoria's most famous  beach,"Bells Beach The beaches close to Mewlbourne are bay beaches, which have very little  surf, but are good for paddling. Bells Beach is a surf beach, it hosts the Rip Curl Pro Bell, one of the marquee events of the world's surfing championship. It's being  held in 2020 the first two weeks of April. When things are quiet, you can go for a  waander around, or body surf if you don't have a board. Bells Beach is just out of Geelong, Victoria's second city.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r746030919-Bells_Beach-Torquay_Victoria.html
ScarlettOtto,Surf,"Bells Beach Wow!!
most likely the most famous and most amazing australian surfing beach.
the view from the top is stunning.
we would literally spend hours staying on the top, observing waves and surfers.
very peaceful and laidback place. 
An Australian must see",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r745767090-Bells_Beach-Torquay_Victoria.html
Y5062SOannetter,Beautiful beach,Bells Beach clean sand; absolutely beautiful...great waves; warm water; a very enjoyable place to swim; surf and enjoy a great day out.,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r745573882-Bells_Beach-Torquay_Victoria.html
deepikarocks22,Places to cover on great ocean road or drive,"Bells Beach First stop for our great ocean road or drive..
A scenic beach, as a look out for some great photos..
Parking lot available..
Well maintained washroom available too..
Don't have any restaurants near by..",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r742708414-Bells_Beach-Torquay_Victoria.html
aejaviera,Capital of surf,"Bells Beach If you are a very good surfer you can’t miss it! And if you not surf and go with surfers just to be there BYO food and drinks , there’s toilet there",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r741613253-Bells_Beach-Torquay_Victoria.html
jorP5935DQ,Pleasant surprise,Bells Beach This is not an abused tourist attraction it really is just the beach There’s no shops or trinkets It’s been left in all its natural glory Well Done,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r741411901-Bells_Beach-Torquay_Victoria.html
jenbE9916MQ,Beautiful,Bells Beach Such a beautiful spot to enjoy with friends and family. This is my go to spot when the weather gets good!,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r740696842-Bells_Beach-Torquay_Victoria.html
Shihoko,Best in great weather,"Bells Beach I had been to Bells Beach a number of years back for the RipCurl Pro, and on this visit the weather was windy and freezing! It's a lovely beach with a great view from the observation deck, with plenty of car parks. Definitely best to go in fine weather, or during the comp season for the atmosphere.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r738378231-Bells_Beach-Torquay_Victoria.html
ZoeGrace64,Magically Beautiful,"Bells Beach On the 26th of October my partner took me on a mystery trip to Bells Beach, I had never been or heard of this spot before. In front of the beautiful scenery on the observation deck he proposed! Was such a lovely view and I will always remember this spot!",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r736749344-Bells_Beach-Torquay_Victoria.html
CodyMav,The Famous Beach,"Bells Beach Ok, the day I finally got there, the surf was less than impressive, and the beach much smaller than I had thought, but I was surprised to see how well setup the parking and amenities to the beach were.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r735921220-Bells_Beach-Torquay_Victoria.html
julianal851,Surprisingly smaller than expected,"Bells Beach Thought this was a really short visit, the beach is nice and offer some cool walking trails l will go back to do. But it was surprisingly small. Perhaps because it is quite famous l expected it to be bigger. It is more reclusive and no shops nearby, so gotta go prepared (food and water). Note though there are public toilets near the parking area. 

I saw a couple of people whom seemed locals wearing gloves and carrying a wast bag, cleaning up the beach. So l leave here a note: please take your rubbish with you. Don’t leave a waste trail behind.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r735386761-Bells_Beach-Torquay_Victoria.html
rosannad132,Bells  Beach  Surf  Capital of The World,"Bells Beach I was So in love  with the Surfer  Vibe! I was thrilled to hear the warning ⚠️ from our Tour-guide Tim... “be aware our surfers ‍♀️ are Not shy ☺️ and change into their gears right out here... you may see a naked surfer!!” Hello  Jackpot ! 
Visited the shops  Rip Curl’s head office and Bilabong Quicksilver just to name a few! It was all so Aussie-Some!! Great  place to get your summer wardrobe and then some! Loved passing by Xavier Rudd’s house of course I imagined myself jumping out of the emergency  door and rolling onto His property only to be saved by His sweet singing  and reviving me back to Life! Oh and to your left Mel Gibson lived there while he was filming MAD MAX....
I think I may have found my retirement community ah yeaaaa! G’day Mates!! With Love  and Blessings to such an amazing place! I’ll be back...Rosanna Danna",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r731490416-Bells_Beach-Torquay_Victoria.html
SteveinCH,Beautiful view of a stunning beach,Bells Beach This is a popular and famous surfing beach. It was one of our first stops on our 2-day Great Ocean Road tour. The colors of the rock and ocean are beautiful. The boardwalk makes it easy to get great views.,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r722900168-Bells_Beach-Torquay_Victoria.html
Madshus,Great view of famous beach,Bells Beach I stopped by to have a look out on this famous beach. There were surfers around also looking out at the other surfers in the water. It's a fantastic spot. I didn't have time to go down from the point to actually enter the water; anyway it's winter. Worth getting off the main road!,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r722870763-Bells_Beach-Torquay_Victoria.html
95dannif,Surfers haven,"Bells Beach Dropped in to see the world famous surfing beach. 
It was perfect weather and several surfers were out.

Waves on this day weren't at its capacity of 8ft plus, but it was good to see. There are x2 entry points 
Bells beach and bells beach south. Steep hill with steps so not for faint hearted. If your not keen on the trip down and back up, there are nice spots to watch from above, seating around the area.
Plenty of parking. Stunning views.
We are into photography so the waves and surfers were a bit of fun for us.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r722512796-Bells_Beach-Torquay_Victoria.html
wmccfp,Iconic beach,Bells Beach Didn't see great waves or many surfers but it is easy to see why this is one of Australia's most famous beaches.  Worth a look even on a cool day.,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r715562052-Bells_Beach-Torquay_Victoria.html
MASK_3551,Just another surf beach when there’s no carnival on,"Bells Beach I got excited taking the kids down to Bells Beach for the first time after many memories heading down for a surf carnival. 

It’s a beach Best looked at from the look out platforms as it is mainly use daily by surfers only. Similar views are accessible further along near Anglesea with much better access for elderly people prams etc

There is no infrastructure at Bells Beach so it’s a short stop only",3,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r714671810-Bells_Beach-Torquay_Victoria.html
parryp2020,beautiful beach with nice look outs,"Bells Beach The scenery is beautiful, there is a long coast line that you can enjoy driving besides. There are also plenty of tracks, mainly in the bush though. Its a relaxing spot quite close to Melbourne that can be used for a day out. There is no any restaurants or cafe around the beach, its pure nature. To get food or drink you need to drive to Torquey which is only a couple of minutes drive.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r714422522-Bells_Beach-Torquay_Victoria.html
andfitri,Stunning beach,Bells Beach The beach has stunning view. The surf is flat and did not stop. This one of the icons along the great ocean drive.,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r707337698-Bells_Beach-Torquay_Victoria.html
646dianneh,Rugged,Bells Beach What a beautiful area this coastline is.Bells Bch was pretty flat surf the day we went but that didn't stop the amount of board riders that were their.Rugged cliffs down to the beach with great lookouts at the top if you don't want to go down to beach.Amazing views along coast.,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r707081323-Bells_Beach-Torquay_Victoria.html
dianneo831,Iconic beach break,"Bells Beach Bells Beach is the home of the Ripcurl Bells Beach Pro each Easter. It's a must see icon if you are travelling on the Great Ocean Road. Very close to Torquay but retains its wild natural characteristics. You will probably see some surfers out on the break or at next door neighbor, Winki Pop. Only try this if you are a strong swimmer and a good surfer. The rip can be dangerous. As you enter the carpark, look left. The farm on the other side of the road usually has a mob of kangaroos grazing or hopping. Look out for the resident echidnas in the bush area of the carpark. If you are a keen photographer this is also the place for an authentic surf culture photo.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r703765483-Bells_Beach-Torquay_Victoria.html
VandKadventures,Beautiful Coastline!,Bells Beach We had a lovely day out exploring Bells Beach and the surrounding coastline and towns. Well worth a visit!,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r701307053-Bells_Beach-Torquay_Victoria.html
Katcraze,Cool surfing sight,"Bells Beach If you have never seen surfers, take the time to pull into these lookout spots. The waves here are well shaped and provide long rides for the surfers, unlike many spots in California. The views are spectacular also.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r692756333-Bells_Beach-Torquay_Victoria.html
JimS499,Perfect surfing Beach,"Bells Beach Really just a surfing beach. Not much in the way of cafè or restaurant culture, nor blocks of hotels....pretty much a smallish, pretty Beach....(not during the international surf competitions tho)",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r686238410-Bells_Beach-Torquay_Victoria.html
Brenero,Iconic surf beach,"Bells Beach This is just a few kms west of Torquay.

Great views are afforded of the beach from all vantage points (east or west).

The highlight was taking the eastern stairs onto the beach and walking the lenght of the beach thereby appreciating the beauty and size of the surf.",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r685285853-Bells_Beach-Torquay_Victoria.html
fridakent365,Surf Coast walk from Torquay to IronBark Basin,Bells Beach Great views and not at all busy at this time of the year.  Expected more in regards to facilities as we believed it to be a famous beach!,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r684897788-Bells_Beach-Torquay_Victoria.html
jefflE9221RV,Beautiful views,"Bells Beach Beautiful landscapes and seascapes ,great for photography ,tranquil settings and beautiful fresh air!",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r683431141-Bells_Beach-Torquay_Victoria.html
AnnieGrant,Surfing Capital of Australia,Bells Beach The wind and bleak weather on the day we visited didn’t deter the hardened surfers. Good viewing platform and windswept trees growing at impossible angles make for interesting photographs. For the surfing aficionados.,4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r683328765-Bells_Beach-Torquay_Victoria.html
ThissaFam,Relaxing and Romantic,Bells Beach Three days down here with day trips to Lorne Aireys Inlet and alike.  Even in winter there’s something about this place to just relax or go as hard as u like.,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r682031689-Bells_Beach-Torquay_Victoria.html
MrDavetheSarks,Surfing Mecca,"Bells Beach Really come here if you are into surfing, which I'm not. Good vantage point to watch, but little in the way of facilities. Would've expected more from a world famous beach.",3,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r678507341-Bells_Beach-Torquay_Victoria.html
trippingx3,World famous surf,Bells Beach For the surfers and keen hikers this is a bucket list must do! It doesn’t matter what season you visit this place always turns on the surf and views! A absolutely beautiful place that is a definite must do! You will not be disappointed,5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r674361950-Bells_Beach-Torquay_Victoria.html
Lifeguard62,World Surf league,"Bells Beach Travelled down for the 2019 Rip Curl Pro.   The surf did not cooperate initially but once the good sets rolled in it was on. 

Great event and well worth the trip.  Tips: 

Download the app and get to the event early in the morning before 7.00am to bet traffic and crowds. 

Take something to sit on or protect your bum from the rocks. 

Dress in layers as it gets cold then hot etc. 

Relax and enjoy.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r672919417-Bells_Beach-Torquay_Victoria.html
21_purvi,Beautiful beach...worth to stop,"Bells Beach This is one of the best beaches of torque...Amazing sea view...I loved to walk there ..
Water is clean..",5,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r669170026-Bells_Beach-Torquay_Victoria.html
Kerryn72,No surf today,Bells Beach Bells Beach is an iconic Aussie beach along the Great Ocean Rd. We were there a week before Easter and the day before the Rip Curl Pro surfing event.  Unfortunately for the organizers it was flat and no surf. As a tourist it was great seeing such a flat sea but disappointing for the surfers. A quick stop is a must if only to say you've been to Bells Beach.,3,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r666856360-Bells_Beach-Torquay_Victoria.html
589harryw,Surf wasn't up when we visited.,"Bells Beach It was a windy blustery day when we visited and great for kite surfing, but we didn't see any surfers.",4,https://www.tripadvisor.com/ShowUserReviews-g261667-d589955-r666495809-Bells_Beach-Torquay_Victoria.html
