user,title,text,rating,url
Rahmi imamah,Plengkung Beach,"G-Land The journey to G-Land alias Plengkung Beach must use a Tourist Jeep (for tourists, not warlocks), but there is also a helipad there (for those who can afford it, it seems). The jeep fare is Rp 250,000 for 7 people. The beach scenery is very beautiful, including the famous surfing spot. Unfortunately, when I visited last December, the beach was low tide so we couldn't see the waves. The plus side was that during low tide, we could play on the beach and see the amazing marine life.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Rika Hidayah,Plengkung Beach,G-Land Highly recommended for family gatherings.,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Arif primitif,Plengkung Beach,"G-Land G-Land Beach is actually still in the Java Island area but feels like a tourist destination outside of Java because it's so naturally beautiful, with the jungle on one side and waves rolling in from the west and south, a combination of waves from the Indian Ocean, the Antarctic, and the Australian continent. G-Land's location is indeed north of the Australian mainland. This is a tourist area in a national park, a protected forest, and a natural reserve, so public vehicles are not allowed to prevent hunting of protected wild animals.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Ahmad Taufiq Ridho,Plengkung Beach,G-Land Good,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Anto Hud,Plengkung Beach,G-Land Still all natural.,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Mr' Anshory,Plengkung Beach,G-Land The best,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
taufiq,Plengkung Beach,G-Land good,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Abg Center,Plengkung Beach,"G-Land Plengkung Beach is beautiful, captivating, and one of the best beaches in the world for surfing, with strong and stable winds, so it is highly sought after by tourists, especially foreign tourists from Bali.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Hadi Suprapto,Plengkung Beach,G-Land Beach for surfers,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Frisnata Adi,Plengkung Beach,"G-Land Sooo amazing to be here,super natural,so many birds wild pig deer’s n ofcourse good waves",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Salsabila Tajrin,Plengkung Beach,"G-Land The beach is really nice. Plengkung Beach is among the lineup of some of the most captivating wave beaches in the world. This beach is also sometimes used for surfing competitions. So, quite a few tourists come here to surf. The scenery is also quite good. Many animals can be found along the way, including peacocks, monkeys, and others. But I don't like the many toilets there because they can't be used.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Yohanes Sudarmanto,Plengkung Beach,"G-Land If you want to go to the beach, you have to rent a car for 250k (quite expensive). The beach is just okay, not better than the southern coast of Mount Kidul/Pacitan.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Rafa Aldi,Plengkung Beach,"G-Land Usually, you can meet Angga there climbing.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Saat Fatmantara,Plengkung Beach,G-Land Cool.,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Bee,Plengkung Beach,"G-Land White sand, serene atmosphere, and many primates and deer roaming around.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Anisa Bwi,Plengkung Beach,"G-Land My experience from home to Plengkung. The distance from my house to Plengkung Beach is quite far, because my house is in Ringinagung Pesanggaran, my journey is quite tiring and the access to get there is quite good because most of the roads are already paved, and the entrance ticket is quite expensive for villagers like me (25k per person). And when I arrived there, it turns out that it's not just Plengkung Beach, but there is also Sadengan savanna, Plengkung Beach and many other beaches. Plengkung Beach is quite clean and comfortable. And for children, they can play in the small river near the beach. The waves on the beach are quite brave so no one plays in the water, and there are also many gazebos for visitors to rest, and there are many monkeys, and as long as we don't disturb the monkeys, they won't disturb us. The downside there is not many children's games like swings or others so children get bored quickly because most visitors bring children. And also there are no signposts to indicate where the place is and how far it is. That's all my experience at Plengkung Beach. Thank you.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
AnniR Ar,Plengkung Beach,"G-Land The natural scenery, wow. We stayed at Jacksurfcamp. Seems like only three local tourists stayed there. The rest were all foreign tourists. There are several accommodations on this beach. All of them are full. These foreign tourists come here for surfing. The waves are very long. We just came to see and enjoy. There are still monkeys around (they even drink coffee from glasses... cool, right), there are still leopards, wild boars, deer, and mouse deer.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
rudi ale,Plengkung Beach,G-Land Truly a delightful universe of extraordinary nature.,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Colin Hartnell,Plengkung Beach,G-Land Absolute heaven,,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
Rosa S,Plengkung Beach,"G-Land Known as G-land, paradise for surfers, its waves are very big, often used as a location for surfing competitions. The road here is quite far, about 1.5-2 hours from the city, but the road is good, paved, and smooth. You have to take a Jeep from the Pancur beach area to get here, because the road from here is still rough. Renting a Jeep costs around 250,000 Rupiah and can accommodate about 4-5 people.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
ahmad setiawan hadi saputro,Plengkung Beach,"G-Land Great spot, the beach atmosphere is not too crowded. Can see many hermit crabs.",,https://www.google.com/maps/search/?api=1&query=Plengkung%20Beach&query_place_id=ChIJnWsyFcGS0y0RSMfwgrmST4E
