user,title,text,rating,url
AustTrail,Lovely spot for a walk,"Mereweather Beach A lovely beach to visit in Newcastle. It was very choppy the day we visited but it was still spectacular to see the surfers do their thing and see the powerful waves crash to shore.
The bluff near the baths have interesting rocks to look at if you are interested in geology. Observed a few fossils and the rock pool great for kids.",4,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r948340715-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
yazitravels,Lovely beach,Mereweather Beach A couple of parking spaces in the parking and along the street. Clean beach with a cafe at the edge and also lifeguards and surfers. Perfect to just sit and watch or to wet your feet.,3,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r884241707-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
lkamphuis,Worth a visit,Mereweather Beach What a stunning location - we loved the look out with the faux grass perfect for picnics - parking is more challenging but definitely worth  a visit,5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r868080157-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
ThomasE504,Not worth it,"Mereweather Beach I lived here in 2022. This beach was really horrible. Superficial people, a beach destroyed by a disgusting beach club and a pub across the road full of superficial tossers.",1,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r831519624-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
RetireeBob,Heavy Shore Breaking Waves made it Difficult to Enjoy the Surf,"Mereweather Beach We visited this beach every day for a week. The shore break made it dangerous for anyone who was not good swimmer. Relief came from splashing in the wash. The facilities at the beach precinct are vey good, so a reasonably pleasant hour or two could be had here, but not so much in the water.",3,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r823993340-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
Oscarsmith7,Oar sum,Mereweather Beach Excellent place for a walk and a swim. Was surprised there was so much parking available. Scenic and serene. One of the best parts of Newy,4,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r813272322-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
182victorp,Such a beautiful spot,Mereweather Beach Bought lunch from Swell Kiosks and spent a few hours Merewether Beach watching our daughter playing with sand building. Such a beautiful spot.,5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r805917668-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
tashakxox,Best beach,"Mereweather Beach I love this beach as do my family, beautiful clean beach and friendly locals. Def a must visit attraction and the bathes,",5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r796075521-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
N3401AOaarons,Parking is a nightmare!,Mereweather Beach Don’t expect to come down here on a sunny weekend day and expect to park. Took us almost an hour to find a space. And that was just down to luck as we saw someone leaving. But the beach....wow.....it’s incredible.,4,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r788202215-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
den003,Great beach section,"Mereweather Beach Very busy beach area. The facilities were very busy as it was a nice day, but lots of toilets and showers. Still room on the beach. Stunning coastal walk along from Nobbys head",4,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r786884523-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
leeannes2015,Beautiful Beach,"Mereweather Beach Visited Merewether Beach recently for the first time & it was lovely.  It is patrolled by life guards.  Parking isn't that great, there is no car park so need to find street parking.  The surf club is amazing with a restaurant and a cafe down on beach level.  Easy to stay for the whole day.",5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r781441956-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
camsean,Summer Australian Style,"Mereweather Beach Merewether beach is a great example of a typical Australian beach. The water is clean and bracing and it is never really that crowded.

There is also a large ocean pool.",4,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r781116201-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
Oscarsmith7,Excellent,"Mereweather Beach Easy to get a park, and the ocean baths were fantastic. Great for walking, swimming or dining. Scenic place",5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r780070792-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
ChristineT851,Stunning views and great food,"Mereweather Beach Lovely lunch at Merewether Surf House today, prawn pizza and a cocktail in the sunshine. Nothing better!",5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r776010869-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
TerryAussie_1,Walk the promenade and enjoy the view,"Mereweather Beach There are actually 3 beaches here with one long promenade, Merewether, Bar & Dixon Park beach. Views of the headland are spectacular as you want the promenade. Plenty of places to stop for coffee or brunch as you watch the surfers.",5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r776003580-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
daveandbrydie,One of the beat beaches in Australia!,"Mereweather Beach From the beach to the wonderful ocean baths, Merewether Beach is amazing all times of the year. We’ve smashed out fitness goals in winter with that long set of stairs and cold water swims, to cooling off in Summer with a splash in the waves. Great to watch the coal ships go past and we always seem to see at least 2 aircraft. A busy and friendly place that we’d recommended visiting if you’re looking for a beach along the Newcastle coastline.",5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r775702812-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
MosesPH,Such a Beautiful Beach and Ocean View,"Mereweather Beach A visit to Merewether Beach is must if you are visiting Newcastle - around 2kms away from the CBD it is a lovely beach. Long stretch of beach and an amazing ocean bath and pools. Paved so you can walk on a path or better if you want to walk along the sand or along the water. Great place for families and the ocean baths have lots of spaces suitable for toddlers, little kids, youth and adult. Such a nice atmosphere and lovely cafe with good food selection and coffee. Can sit and enjoy the views all day here.",5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r773388510-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
BarryH1966,One of the best views on the East Coast,"Mereweather Beach This has to be one of the best beaches on the east coast, great views, great surf and great coffee from the Blue Door Kiosk, Coffee with a View!",5,https://www.tripadvisor.com/ShowUserReviews-g255325-d3246009-r771651357-Merewether_Beach-Newcastle_Greater_Newcastle_New_South_Wales.html
