user,title,text,rating,url
barbierikab,Nice beach but be careful,North Narbeen Beach Beautiful beach and very long so it is ideal for long walks. On both sides of the beach there are saltwater pools. Pay attention to the signs as there are dangerous currents and it is always full of Portuguese man o' war jellyfish.,5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r942974876-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
onmailgaurav,Endless views of the ocean,"North Narbeen Beach Beautiful beach and great sunset views, and if you are lucky you can spot whales during mating season, endless views of the ocean.",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r828724691-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
reise686,"Beautiful beach, lagoon, walks and rock pool","North Narbeen Beach Narrabeen beach has so much to offer. Including exposed rocks during low tide, a lagoon that is located next to the rock pool. Long sandy beach to go on a nice long walk or bi-centennial coastal walk up the coast to Warriewood beach and further.",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r762182517-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
JElliot32,A Mecca for surfers,"North Narbeen Beach North Narrabeen has long been renowned for having some of the best, most consistent waves on the East Coast and along the way the area has produced some of Australia's most famous surfers. From the lookout on the point at the northern end of the beach you can see the current crop ply their skills. (Just look for the crowd of onlookers with cameras.)
If you are not a red-hot surfer North Narrabeen still has plenty to offer. There are very good ocean baths also at the north end that attract families and serious lap swimmers. The beach is also very long, extending several kms to Collaroy Beach in the south. Very good for a long beach walk and there are plenty of uncrowded (though also unpatrolled) sections along the way too.",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r760584342-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
Ellemay,Beautiful beach  ‍♂️‍♀️,"North Narbeen Beach North Narrabeen beach is nestled bedside Narrabeen lagoon and has a stunning Rockpool and a long sandy beach which is fabulous for surfing . 

Walking around the lagoon is also excellent for all age groups with a dedicated pathway for bicycles and pedestrians. The lagoon also has several beautiful spots for swimming, fishing or canoeing . 

North Narrabeen beach is located on the northern beaches 25km north of the CBD.",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r752952765-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
bronwynm676,Lovely Beach,North Narbeen Beach Swimming in our oceans with life guards and on North Narrabeen is a gr888t day out at the beach for anyone,4,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r749829936-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
Oscarsmith7,Perfect place,"North Narbeen Beach Absolutely beautiful spot. Love the ocean rockpool, which is excellent for recreational or lap swimming. The headland and inlet are fantastic",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r734515399-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
SandyT379,Beautiful Beach for walking or Surfing,"North Narbeen Beach Fabulous beach, with excellent waves for surfing. Clean and picturesque.  Has a great rock pool for swimming as well, and the lagoon, but this needs to be open to the surf, for optimum water quality.",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r732992306-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
djbdwb,"North Narrabeen Surf Life Saving Club. Has a hideaway cafe/restaurant, that is not mentioned in Trip Adviser.","North Narbeen Beach With “eat in or alfresco” on the balcony overlooking the surf & sand. My daughters & I had a delicious meal, and great coffee. It is so good we often eat there, . Prices reasonable. Casual dress. So relaxing watching the waves roll in! Hidden gem!",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r717538727-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
Shaghil,Amazing Beach,"North Narbeen Beach A very nice beach, wasn't busy when we were there but we were told by locals that it does get very busy in Summer. Most public car parking is paid parking and actively monitored by Council.",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r710681960-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
Z8468NNpauls,Great beach,"North Narbeen Beach Maybe I shouldn't tell people as I love this place. Great for taking photos at sunrise or sunset, as you can see both East and West. You can swim in the surf or in the rock pool.",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r672376752-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
georgehappy,breathtaking,"North Narbeen Beach great beach, was very quiet when I went there, we had a great time. it's a sandy beach with great sunset view",5,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r667269403-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
Ultravixen,Lovely ocean pool,North Narbeen Beach North Narrabeen Rockpool: this is an ocean pool on a point so it has a good view on three sides. The path from the car park is flat and not too long. The pool bottom is sandy and it has a nice wooden boardwalk where you can leave your stuff. Would be better at high tide with waves crashing all around.,4,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r658192006-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
shaunr464,Surfs up,North Narbeen Beach Like all the Northern Beaches crashing waves and sand. Make sure you swim between the flags there can be a significant sweep.,4,https://www.tripadvisor.com/ShowUserReviews-g2034319-d589953-r655912954-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html
