user,title,text,rating,url
C221DVcarlosa,Perfect small Beach,Sandy Beach Rincon This Beach is perfect. Very isolated and not as populated as the other nearby beaches. Perfect for sunrise and sunset to walk with your partner. Waves are not that aggressive and not too many people. I would come again,5,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r899474021-Sandy_Beach-Rincon_Puerto_Rico.html
N8946VGtomc,On the Beach,"Sandy Beach Rincon Our daughter has a condo on the beach here.  She also took a surfing lesson here.  There is a shelf of rocks along the beach in some places, but there are sandy places.",5,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r882216168-Sandy_Beach-Rincon_Puerto_Rico.html
K374LKbillm,Quiet and simple,Sandy Beach Rincon Perfect beach for enjoying warm weather and friends. We packed some drinks and ate at a local restaurant for a simple day at the beach.,5,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r879457638-Sandy_Beach-Rincon_Puerto_Rico.html
Q1438FKlisao,Nice beach for body surfing,Sandy Beach Rincon We enjoyed this beach very much. The waves were great and not too strong. My husband and 11 year old son body surfed most of the day. The beach sand was nice and no rocks. Our belongings felt safe on the beach when we were swimming. After swimming we walked to Tamboo and had drinks and a nice meal.,5,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r832620994-Sandy_Beach-Rincon_Puerto_Rico.html
janieb661,Relaxing Beach Visit,Sandy Beach Rincon Beautiful Beach!  Great for surfers and those who love lots of waves.  Nice place to relax on the beach!,4,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r827164951-Sandy_Beach-Rincon_Puerto_Rico.html
mrs_edinburg,Perfect Chill Beach in Rincon,"Sandy Beach Rincon This is a perfect place to have a chill afternoon on the beach in Rincon. Tamboo Tavern is right on the beach, serving up delicious food and drinks. The beach is even without a big drop off. My husband has traditionally come here every visit for bodysurfing with my father in law. It is a bit more crowded than other beaches in Rincon but not overwhelmingly so. There's also a trailer in the parking lot on the right side of the beach that rents surfboards, chairs, umbrellas, and other equipment.",5,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r826549495-Sandy_Beach-Rincon_Puerto_Rico.html
Zinwinegirl,A quiet little piece of Paradise,Sandy Beach Rincon Spent a week in Rincon and went to this beach daily. It was never crowded and the surf was great! Everyone had fun playing in the waves.,5,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r822179612-Sandy_Beach-Rincon_Puerto_Rico.html
MargBenites,GREAT TIME! AMAZING TOUR GUIDES,Sandy Beach Rincon This eco tour was amazing! Beautiful sights all the way through. The tour guides Jose & Omar were very friendly and helpful and very well educated about the waters and caves. I 100% recommend this tour for anyone who is wanting to try it.,5,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r802152983-Sandy_Beach-Rincon_Puerto_Rico.html
jferguson75,Gorgeous Beach with Large Waves,"Sandy Beach Rincon Visited this beach twice during our visit to Rincon. Beautiful setting, supposed to be good for sea glass hunting. The waves were too large for this, but was still a beautiful beach which I plan to visit again. Homes/condos on this beach are beautiful.",5,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r785103825-Sandy_Beach-Rincon_Puerto_Rico.html
May_EXL,Surf & Beach,"Sandy Beach Rincon Another beautiful beach in Rincon.  No resorts or manicured beach here.  No entrance fee & not a crowded beach.  Good for swimming on shallow end, surfing, boogie boarding, beach walking, picnics and more.  If you like sea glass, you can find it on Sandy Beach.  No bathrooms and shower areas.  Although there’s no restaurants on the beach, we had seen coffee shops, gift shops and restaurants along the road.  There’s a store to rent non-motorized water equipment like boogie boards by the entrance in the parking lot.",4,https://www.tripadvisor.com/ShowUserReviews-g264369-d288387-r762455434-Sandy_Beach-Rincon_Puerto_Rico.html
