user,title,text,rating,url
376cacauej,Surf!,"Sasquerma Beach Beautiful and long beach of Saquarema in Rio de Janeiro, where the Brazilian stage of the WSL world surfing championship takes place, very good for the sport, but very unsuitable for bathing due to the risks on most days.",4,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r931439016-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
52eloisaa,Place to be happy!,"Sasquerma Beach Super quiet and pleasant city, beautiful and clean beaches, strong waves, but offers quieter places.",5,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r885952550-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
saferreiranelito,Naturally beautiful!,Sasquerma Beach Naturally clean.. Quite cold water... But it makes up for it by the sunshine that accompanies it largely only year-round.,5,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r882954274-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
Coastal693724,Very good beach.,"Sasquerma Beach The beach is wonderful, clean and beautiful. What we had difficulties with was a place for lunch and dinner, it is very difficult to find a good place with a fair price. The hostel we stayed at I found too expensive for what it offered. They need to better structure the accommodations combined with food. As a first time, it was worth it.",3,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r881604660-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
459gilbertop,Beach for those who like waves.,"Sasquerma Beach Excellent beach, with waves, without the hype and movement of Cabo Frio, but in a simple and pleasant place. Sunset in the sea, along with the Morro da Igreja and the view of the lagoon, many surf schools. Shops, bars and restaurants meet your needs. The World Surfing Championship takes place on site and depending on the season the sea can be rough. It is not suitable for those who do not know how to swim or have little familiarity with the sea of waves, although there are always present lifeguards, but at the end with stones there are quiet places suitable for children. The sand is soft and difficult for walks. We even saw large turtles near the beach,",5,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r878721838-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
alexandrensoares,Rough sea.,"Sasquerma Beach Wonderful, beautiful, clean beach, but with little infrastructure. Quite rough seas, but for those who don't like turmoil it's the ideal beach!",4,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r876189843-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
b_rbaraisad2022,Empty beaches on holidays.,"Sasquerma Beach We traveled for the first time to Saquarema and the beach of Itaúna, which is one of the most famous, surprised me very positively. Fine white sands, very blue sea and it wasn't too angry in the spots we visited. The water was not cold. Quiet beach, empty because it was a holiday, I even got scared. I didn't even believe the truth. No speakers. Most of them don't have chairs and umbrellas rent, so it's good to take them. Also there aren't many kiosques depending on where you are so it's good to bring some snacks. On the waterfront there are some more cool party bars too.  I loved it.",5,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r868886200-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
52eloisaa,Place to be happy!,"Sasquerma Beach Wonderful place. Super quiet neighborhood. Clean beach, but rough sea, in some points where there are rocks is quiet for children.",5,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r836306733-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
helensardenberg,Itaúna is life!,"Sasquerma Beach Beach delight, great to stay in Saquarema. It's the surfers' spot and worth a walk to the church by the sand",5,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r794174884-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
654marilenes,Beautiful beaches!,"Sasquerma Beach Beautiful Itaúna beach with clear sand, with preserved natural vegetation, beautiful sea, clear waters but very cold, big waves come in when low tide even so be careful because there are currents. Respect Red Flags",5,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r781649245-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
P8022UBfernandoa,Surfing championship beach.,"Sasquerma Beach It is the place where the stage of the WQS, world surfing championship, takes place, so it has many waves and it is necessary to take care of the children. It has more than 5km of sand, so even in times of covid there is no problem of agglomeration.   Access is simple, if you go by car there are private parking lots, or you have to stop on the street.  The sunsets are also amazing.",5,https://www.tripadvisor.com/ShowUserReviews-g1096016-d4010884-r781195759-Praia_de_Itauna-Saquarema_State_of_Rio_de_Janeiro.html
