user,title,text,rating,url
Sally Palmiter,Trestles Beach,"Trestles Beach San Clemente We work security there twice a year. It's a beautiful beach. It's quiet not overcrowded, started biggest thing is guys. That ride on bikes and don't stop for pedestrians",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxME1lNEVBEAE!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgIC10Me4EA%7CCgsIieCNrAYQuNe0LQ%7C?hl=en
Mike Davidson,Trestles Beach,"Trestles Beach San Clemente Amazing surfing, just a little hike to the beach and great food around the area",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNWMXNENy1BRRAB!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgICV1sD7-AE%7CCgwIj8rEqwYQ0Nff-QI%7C?hl=en
Rebecca Thacher,Trestles Beach,"Trestles Beach San Clemente Named for its famous train trestles, it’s a beast of a walk down to the beach from available parking but oh so worth it! A favorite local surf break, beautifully untouched nature, rustic rocky beach (surf booties or water shoes look dorky but are your bff if you’re going into the water), home to so many high profile surf competitions, … It’s not known for its accessibility but if you’re able bodied and don’t mind the .81 mi trek down and back, it’s all kinds of awesome and definitely something you should experience in Southern California.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGd2ZiM0dnEAE!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgIDFwfb3Gg%7CCgwI5oGqqgYQ8OmN-gI%7C?hl=en
Marcelo Rangel,Trestles Beach,Trestles Beach San Clemente One of the best surfing spots in California,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNabHBDbzNnRRAB!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgICZlpCo3gE%7CCgsIvrPzpwYQiPjeKw%7C?hl=en
ADM. MARCELO Original,Trestles Beach,"Trestles Beach San Clemente Very good, high waves",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaNXMtc19nRRAB!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgICZ5s-s_gE%7CCgwIm63zpwYQoNK-swI%7C?hl=en
M Hernandez,Trestles Beach,"Trestles Beach San Clemente It’s way too rocky and the waves are tough. It’s not worth the long hike to get to the beach. The  porta-potties are disgusting and they say there are sharks.  Better go to other beaches with real beach sand, people, amenities and less danger.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwMWZhWE53EAE!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgIDp1faXNw%7CCgwI1MOmpwYQgMSOzAM%7C?hl=en
Marc P,Trestles Beach,Trestles Beach San Clemente Serene beach views.,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSenB1ck9REAE!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgICRzpurOQ%7CCgwI26GkoQYQoL_7ggM%7C?hl=en
Robert Jordan,Trestles Beach,"Trestles Beach San Clemente When I was a kid, 60 years ago, my brother and I would body surf at The Trestles. Our friends, at school, often challenged us, ""You couldn't have surfed The Trestles."" We did, because our father was a U.S. Marine Corps Captain and Marines' families had access to The Trestles, near Camp Pendleton (a Marine Corps military base) in Southern California. It was Supreme!!",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoanRuSURREAE!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgIChjtnIDQ%7CCgwIvI2mnwYQ0Nn90AM%7C?hl=en
Rainbow,Trestles Beach,Trestles Beach San Clemente Great for surfing cold water. Kinda island vibe made shelters. Lots of people.,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCN012cUVnEAE!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgIDB7MvqEg%7CCgwI7-eGngYQ8OWfrAM%7C?hl=en
User,Trestles Beach,Trestles Beach San Clemente A perfect place to come and hang out in the evenings. Very few people,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQtdzhPWmZ3EAE!2m1!1s0x0:0x9b793486bdac545e!3m1!1s2@1:CIHM0ogKEICAgID-w8OZfw%7CCgsI1q7FnAYQgM_cHg%7C?hl=en
