user,title,text,rating,url
fraire2015,Beautiful beach,"A beautiful beach, very clean and there are life guards every day. The beach can be seen from many coffee shops, restaurants and apartments, very picturesque.",5,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r942565760-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
RB1224,"Beach is great, otherwise little to offer","Apart from a long, sandy beach Coolangatta consists of a strip of shops, restaurants and hotels. Out of season / school holidays the town is dead with many outlets closed or with limited opening hours.",2,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r887656931-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
Jaypunk,Heaven!!!,"An absolutely stunning part of the world. Beautiful beaches, laid back atmosphere and a chilled vibe. You need to weed out the good places to eat but that’s about the only down side to the area. Love it here so much",5,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r879015293-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
990teresan,RELAXING WALK,"This is a lovely beach to spend time at and is clean and well patrolled for swimmers.
Once at the beach if you follow the walking path towards Tweed Heads you will see a boardwalk that passes up the side of the Rainbow Bay Surf Club.  This is a lovely walk which takes you to Snapper Rocks with viewing areas and seating along the way.    A little further along you will find the Green Frog.  At this point there is a set of stairs to climb up.  Once at the top, turn to the left and follow the steep road which will take you to Point Danger where there are several lookouts.  Of course, if you don't want to walk, you can drive to Point Danger and park in the parking area.  Walk a little further and you will come to Captain Cooks Memorial and lighthouse.  If you continue to walk you will come to Duranbah Beach and further on you will arrive at duranbah seawall.",5,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r875681042-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
122lixinl,Coolangatta Beach,"Surprise! I have been to Gold Coast 4 times. My friend lives at Brisbane recommended Coolangatta Beach. The water, wave and sand are so beautiful, my son said how a about we stay here next time. It is a beach for local tourists with stunning view and relax atmosphere. Surfers paradise is more commercial and convenient for international travellers, the surfers paradise beach is as usual as advertised.",5,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r874786675-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
FiveStarPA,Beautiful clean sand,This is a great beach. Very deep so lots of sand. The water is crystal clear. Well worth the visit. 2 sets of swimming flags,5,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r873592703-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
colinwG3500QY,great beach,"plenty of walking tracks  .very clean beach and well patrolled  playgrounds picnic  areas  and seating  , many eating  places along beach strip .",5,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r853656762-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
B-Christ1na,Sting possiblity,There are marine animals like jelly fish and crawlies in land that can sting you in here. Be very careful in and around this beach as medical help could be kilometers away.,1,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r845138440-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
ba8mm,AMAZING,The beach is very big and the views are amazing! There is parking nearby and the sunset is incredible! Not very crowded too! Worth a visit.,5,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r843954866-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
Whitehavengirl43,Lovely sandy beach,"Another lovely  iconic Gold Coast beach good for surfing and swimming. very photographic.  Black volcanic rocks  on either end protect beach from wild weather,",4,https://www.tripadvisor.com/ShowUserReviews-g255335-d2334163-r838024115-Coolangatta_Beach-Coolangatta_Gold_Coast_Queensland.html
