user,title,text,rating,url
R. E.,Pe'ahi Jaws Surf Break,Epic day. 35ft faces+,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkOGJhRFlnEAE!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgICd8baDYg%7CCgwIifK7rgYQuMKRsgM%7C?hl=en
Nykole Epperson,Pe'ahi Jaws Surf Break,"The hike in seemed long but was only a 40 min hike in.  Great place to relax, gave a picnic, and watch the waves.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0aXYyNklnEAE!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDtiv26Ig%7CCgwIlfz5rQYQ0JmrswE%7C?hl=en
Elizabeth Rosabal Harris,Pe'ahi Jaws Surf Break,Crazy drive there. Def a 4x4 is needed and local to really help you get there. The road is really bad!,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxM01qczVRRRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIC13Mjs5QE%7CCgwIpKykrAYQsK-J7QI%7C?hl=en
Kevin Montague,Pe'ahi Jaws Surf Break,"Jaws is a bit tough to get to, although is amazing on a good day for surf!",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWZ3ZmazZRRRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDVgvfk6QE%7CCgsInr_dqwYQ2Pb1QQ%7C?hl=en
Haley Badenhop,Pe'ahi Jaws Surf Break,So fun to watch. The road can get really muddy with red clay though so don’t wear anything nice!,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNsN19Xa0tnEAE!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgICl7_WkKg%7CCgwI-JybqwYQwLqAsgI%7C?hl=en
Xavier Cova,Pe'ahi Jaws Surf Break,"I went to Peahi last Friday November 24th, and I realize how lucky I was to only be here in Mauii when this big swell arrived.
Best day!",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNscy12V2R3EAE!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgICls-vWdw%7CCgwI4OmNqwYQ8Ku2kgI%7C?hl=en
Clayton Turner,Pe'ahi Jaws Surf Break,Beautiful Sea Cliffs and home to the biggest waves in the world!!!,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaamJHd3V3RRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDZjbGwuwE%7CCgwIvLj-qAYQwIuL-QI%7C?hl=en
D D,Pe'ahi Jaws Surf Break,Amazing experience,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaOGFmTlFBEAE!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDZ8afNQA%7CCgwIj4fwqAYQ0NWqgwE%7C?hl=en
Andrea Fernández García,Pe'ahi Jaws Surf Break,Intentamos acceder y fue imposible. Si no tienes un monster track ni lo intentes (el 4x4 normal no sirve si no tienes experiencia suficiente),,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwM1AybGFBEAE!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDp3P2laA%7CCgwIybz7pgYQkOr8lgE%7C?hl=en
James “Kimo”,Pe'ahi Jaws Surf Break,"Beautiful spot overlooking the cove. Long idyllic walk along a few sheer drops hidden by brush and treetops so beware. Don’t drive unless you have a 4x4 with at least 10inches of clearance.  Big ruts in some spots will bury a car and flip a standard SUV.  If you have off road experience, then proceed with the usual caution using a spotter to clear a drop before committing. Really fun bumping along if you can though!",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwNTZIWWlRRRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgICp56HYiQE%7CCgwI6-zapgYQwKid1AI%7C?hl=en
X Y,Pe'ahi Jaws Surf Break,"With out a very good jeep there is no way to even get there, don’t even try when it rained recently",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSLTZyMXFnRRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDR-6r1qgE%7CCgsI6KDQogYQwLXPOg%7C?hl=en
steven llanuse,Pe'ahi Jaws Surf Break,"This review might be a little contentious. It's not that I think this is a bad spot, it's just overhyped for most of the year. If you're not there when Peahi is breaking, don't bother.

In May 2017, there was no break (obviously), but I really wanted to see this famous spot anyway. The road conditions were terrible. Even in a light 4x4, I was concerned that any rain would trap us at the bottom of the road, unable to drive out. Tons of washouts, junked/burned cars, and a couple of grades that will be very challenging in the wet.

The problem is that the sections with the steepest grades have become extremely washed out and lumpy. You can't carry much speed, so you have to pull your way up. On road tires, you can end up in trouble with any amount of rain.

To put it in perspective, we drove nearly everywhere (including Polihale) on Kauai, which was a cake walk by comparison. In short, the view is nice, but it's not any better than the 100 other cliff views in Maui. Only go out if there is a break. There will be plenty of locals to bail you out for $20 if you get stuck.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSN052RTdBRRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDR7NvE7AE%7CCgwImtWBogYQwMT50QE%7C?hl=en
Grande Overland,Pe'ahi Jaws Surf Break,Had a unique experience that we'll remember forever.,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSa1AyZlh3EAE!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDRkP2fXw%7CCgwIw6vroQYQoLL_kAM%7C?hl=en
Robert Cardoni,Pe'ahi Jaws Surf Break,Don’t try getting here without 4 wheel drive!!,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSM3FhSkVBEAE!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgICR3qaJEA%7CCgsInMWnoQYQ8Ii1OA%7C?hl=en
Luis Wiedmann,Pe'ahi Jaws Surf Break,"Insane Spot, you can hear the Thunder of the Waves from the Cliffs",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobzlQY2t3RRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDho9PckwE%7CCgsIgvLMoAYQsNv-VQ%7C?hl=en
John Delisle,Pe'ahi Jaws Surf Break,"Incredible view, incredible waves. Even with a 4x4 Jeep in 4x4 low, this was a difficult drive that I STRONGLY RECOMMEND WALKING. Many stuck abandoned and trashed cars, and one AWD stuck and flooded in a deep puddle. Walk it, no tow trucks.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoLUl5aF9BRRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDh-Iyh_AE%7CCgsI_PH7nwYQgLLHRA%7C?hl=en
Anastasia H,Pe'ahi Jaws Surf Break,"It was great off road trail. We stopped after the sign, and i’m glad we did- there was a truck stuck closer to the end, it was risky to even try to get to the point where he was. Fair to mention he did not have 4x4. We could have potentially go through, but the last trench was really deep.
Walk from the sign was about 15-20 minutes all the way to the bottom.  Last part of the hike( descending), was a bit steep, but nothing extreme. It’s more slippery on a clay road. The beach was empty and there were no surfers that morning, so we enjoyed absolute solitude and beauty of this spot. On our way back we already met few hikers. It was around 10-11am",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNobl8zdXJBRRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIChn_3urAE%7CCgwIrefpnwYQsIHR6wE%7C?hl=en
Kirby Cameron,Pe'ahi Jaws Surf Break,"3km walk each way on a dirt road, if you're walking back at dark get ready for some large dogs coming at you who aren't chained up by their owner",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCdGNpcC13RRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDBtcip-wE%7CCgwI_7HDngYQkMqgzgM%7C?hl=en
Stan S Sparrow,Pe'ahi Jaws Surf Break,"Jaws
Killer waves...4x4 only trail. Or 45min walk.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCNUlpZ2pRRRAB!2m1!1s0x0:0x4413412ac514784d!3m1!1s2@1:CIHM0ogKEICAgIDB5IigjQE%7CCgsIofj9nQYQqMzTNw%7C?hl=en
