user;title;text;rating;url
GailHagemann;Supertubes, Jeffreys Bay highly recommended;I have stayed here before but it was a few years ago. However, the standard has continued to be high.  Very comfortable room, including the expected comforts for a good quality B&B. Good location next to the beach. Staff are very friendly. Winston was particularly helpful with my late arrival, early departure one night stay, making sure I had an excellent breakfast, next to the fireplace, before I left on that cold morning.;5;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r771150131-Supertubes-Jeffreys_Bay_Eastern_Cape.html
jeeteshh;super fun for the whole family;Awesome spot for getting the kids to go up the supertube slide waterpark , with all the fun of the deckchairs and the cool atmosphere;5;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r737980820-Supertubes-Jeffreys_Bay_Eastern_Cape.html
iamjoshwarren;I saw gary glitter here!;"Savile worked in coal mines as a teenager, reportedly sustaining spinal injuries at the age of 14, and was a Bevin Boy during the Second World War.[9] He began a career playing records in, and later managing, dance halls, and was said to have been the first disc jockey to use twin turntables to keep music in constant play. His media career started as a disc jockey at Radio Luxembourg in 1958 and on Tyne Tees Television in 1960, and he developed a reputation for eccentricity and flamboyance. At the BBC, he presented the first edition of Top of the Pops in 1964 and broadcast on Radio 1 from 1968. From 1975 until 1994, he presented Jim'll Fix It, an early Saturday evening television programme in which he arranged for the wishes of viewers, mainly children, to come true. During his lifetime, he was known for fund-raising and supporting charities and hospitals, in particular Stoke Mandeville Hospital in Aylesbury, Leeds General Infirmary and Broadmoor Hospital in Berkshire. In 2009, he was described by The Guardian as a ""prodigious philanthropist""[10] and was honoured for his charity work.[11] He was awarded the OBE in 1971 and was knighted in 1990. In 2006 he introduced the last edition of Top of the Pops.";5;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r726639439-Supertubes-Jeffreys_Bay_Eastern_Cape.html
Flitz8;Surf spots;Great spot for surfer's and where surf legends practise ,a iconic Jeffrey's bay spot and good sunrise spot .;3;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r678311549-Supertubes-Jeffreys_Bay_Eastern_Cape.html
878jacquesh;Just can't get enough mornings on this spot!!;"Make sure to turn into Pepper Street when driving in Jerseys Bay. It is really just one of those magic spots in JBay.

Can get enough of the sunrise, morning after morning.

Endless waves...... 

Always keep an eye out for the dolphins playing around in the waves.

Also a great site when the ""surf is on"" and there are loads of surfers lined up.

This is the annual surf spot with the JBay Winter Fest where surfers from all over the world visit.";5;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r652284854-Supertubes-Jeffreys_Bay_Eastern_Cape.html
anri_gerber;Most beautiful waves, rock pools and beach!;What a breathtaking beach and view! The notorious surf spot-in the top 5 waves of the world... the beach is very clean and has some wooden walkways to walk on along the beach. There’s beautiful Little Rock pools at low tide and a long stretch of beach to walk along. Lots of shells to pick up and beautiful sunrises to watch. There’s little shops where you could buy memorabilia as well! You cannot miss this beautiful beach when visiting Jeffreys Bay!;5;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r643770075-Supertubes-Jeffreys_Bay_Eastern_Cape.html
Jilldutoit;An amazing spot on the coastline!;Such is the popularity of Supertubes that we have found it better to visit off-season, as then we can be gauranteed of a parking place relatively close by. Even during off-season,  intrepid surfers can be seen riding the waves and at this time of the year, the lookout point above Supers is good for whale watching!;4;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r610267449-Supertubes-Jeffreys_Bay_Eastern_Cape.html
AstuteAdventurer;Outstanding Surfing;"We regularly frequent Supertubes in Pepper Street, Jeffreys Bay; home of a near perfect wave; where pro's and amateurs carve up the wall, hang into the tube and generally get stoked at this sought after Surfing Destination.";5;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r559310900-Supertubes-Jeffreys_Bay_Eastern_Cape.html
DrGoodTravel;Whaw !;This place is beautiful. You have the beach, the water slides, the pool, sun, sea and sand at it's best. This are is ideal for swimming, body surfing, playing on the sand, long walk, restaurants, etc - all there together and free & safe parking.;5;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r557464751-Supertubes-Jeffreys_Bay_Eastern_Cape.html
Bradley_Joemat_1;Super at Supertubes;"I stayed at Supertubes for a business trip 26-27 September, it was my second visit to Supertubes and as per my previous visit I must say that it was Super.
The staff are super friendly and professional and they went out of their way to make me feel welcome.
The food was tasty and the barbecue that they arranged for us on the evening of the business trip was SUPER. I would like to commend the guys who did the ""braai"".
I stayed in room no.8 on the ground floor and was SUPER impressed with how neat and tidy the place was.";4;https://www.tripadvisor.com/ShowUserReviews-g469383-d4438560-r528185128-Supertubes-Jeffreys_Bay_Eastern_Cape.html
